Type,School Year,County,District,School,Agency Name,ELL Percentage,DataAsOf
DI,20142015,06,0075,000,RIVERSIDE PUBLIC SCHOOLS,-1.0000,06/23/2015
DI,20152016,06,0075,000,RIVERSIDE PUBLIC SCHOOLS,-1.0000,11/16/2016
SC,20142015,06,0075,001,RIVERSIDE HIGH SCHOOL,-1.0000,06/23/2015
SC,20152016,06,0075,001,RIVERSIDE HIGH SCHOOL,-1.0000,11/16/2016
SC,20142015,06,0075,002,RIVERSIDE MIDDLE SCHOOL,-1.0000,06/23/2015
SC,20152016,06,0075,002,RIVERSIDE MIDDLE SCHOOL,-1.0000,11/16/2016
SC,20142015,06,0075,003,RIVERSIDE ELEMENTARY - CEDAR RAPIDS,-1.0000,06/23/2015
SC,20152016,06,0075,003,RIVERSIDE ELEMENTARY - CEDAR RAPIDS,-1.0000,11/16/2016
SC,20142015,06,0075,004,RIVERSIDE ELEMENTARY - SPALDING,-1.0000,06/23/2015
SC,20152016,06,0075,004,RIVERSIDE ELEMENTARY - SPALDING,-1.0000,11/16/2016
DI,20112012,07,0006,000,ALLIANCE PUBLIC SCHOOLS,0.0401,05/21/2013
DI,20122013,07,0006,000,ALLIANCE PUBLIC SCHOOLS,0.0281,06/21/2013
DI,20132014,07,0006,000,ALLIANCE PUBLIC SCHOOLS,0.0295,07/07/2014
DI,20142015,07,0006,000,ALLIANCE PUBLIC SCHOOLS,0.0280,06/23/2015
DI,20152016,07,0006,000,ALLIANCE PUBLIC SCHOOLS,0.0200,11/16/2016
SC,20112012,07,0006,001,ALLIANCE HIGH SCHOOL,-1.0000,05/21/2013
SC,20122013,07,0006,001,ALLIANCE HIGH SCHOOL,-1.0000,06/21/2013
SC,20132014,07,0006,001,ALLIANCE HIGH SCHOOL,-1.0000,07/07/2014
SC,20142015,07,0006,001,ALLIANCE HIGH SCHOOL,-1.0000,06/23/2015
SC,20152016,07,0006,001,ALLIANCE HIGH SCHOOL,-1.0000,11/16/2016
